edge_id,bus0,bus1,voltage,circuits,s_nom,r,x,b,length,underground,cross_border,kind,length_km,voltage_bus0,voltage_bus1
merged_way/184457365-400+1,way/245190169-400,BA24-400,400.0,1.0,1787.476,1.977686,16.217026,0.0002858,65922.87,f,False,line,65.92286999999999,,
merged_way/251735976-220+2,way/79818891-220,BA12-220,220.0,1.0,491.556,10.444135,52.394745,0.00068357,174068.92,f,False,line,174.06892000000002,,
merged_way/354649124-220+1,way/317496363-220,BA15-220,220.0,1.0,491.556,4.057304,20.354144,0.00026555,67621.74,f,True,line,67.62174,,
merged_way/359581510-220+1,BA6-220,BA12-220,220.0,1.0,491.556,1.391344,6.97991,9.106e-05,23189.07,f,False,line,23.18907,,
merged_way/360691777-220+3,BA17-220,BA20-220,220.0,2.0,983.112,1.373572,6.890751,0.0003596,45785.72,f,False,line,45.78572,,
merged_way/408332925-220+1,BA21-220,BA12-220,220.0,1.0,491.556,5.282239,26.49923,0.00034572,88037.31,f,False,line,88.03730999999999,,
merged_way/544612108-220+1,BA14-220,BA15-220,220.0,1.0,491.556,1.361121,6.82829,8.909e-05,22685.35,f,False,line,22.68535,,
merged_way/654823314-220+1,BA12-220,BA4-220,220.0,1.0,491.556,4.276607,21.454311,0.0002799,71276.78,f,False,line,71.27678,,
merged_way/655046624-220+1,BA18-220,BA12-220,220.0,1.0,491.556,3.635195,18.236564,0.00023792,60586.59,f,False,line,60.586589999999994,,
merged_way/656792209-220+1,BA6-220,BA4-220,220.0,1.0,491.556,3.981488,19.9738,0.00026059,66358.14,f,False,line,66.35814,,
merged_way/658972121-220+2,BA18-220,way/251735977-220,220.0,1.0,491.556,5.490855,27.545789,0.00035938,91514.25,f,False,line,91.51425,,
merged_way/709679619-220+1,BA9-220,BA12-220,220.0,1.0,491.556,0.365067,1.831419,2.389e-05,6084.45,f,False,line,6.0844499999999995,,
merged_way/974993259-220+2,way/251735977-220,BA1-220,220.0,1.0,491.556,5.770586,28.949108,0.00037768,96176.44,f,False,line,96.17644,,
relation/13529549-220,way/113757307-220,way/841600752-220,220.0,1.0,491.556,5.529557,27.739943,0.00036191,92159.28,f,True,line,92.15928,,
relation/13529550-220,way/113757307-220,way/692824732-220,220.0,1.0,491.556,2.742299,13.757202,0.00017948,45704.99,f,True,line,45.704989999999995,,
relation/13529551-220,way/692824732-220,way/841600752-220,220.0,1.0,491.556,2.882744,14.461768,0.00018868,48045.74,f,False,line,48.045739999999995,,
relation/13529552-220,way/841600752-220,BA4-220,220.0,1.0,491.556,0.299064,1.500304,1.957e-05,4984.4,f,False,line,4.9844,,
relation/13529849-400,way/222962996-400,way/236110936-400,400.0,1.0,1787.476,2.247604,18.430357,0.00032481,74920.15,f,True,line,74.92014999999999,,
relation/13561362-400-a,way/89827347-400,way/175002028-400,400.0,1.0,1787.476,2.897338,23.758171,0.0004187,96577.93,f,False,line,96.57793,,
relation/13561363-400,way/175002028-400,BA13-400,400.0,1.0,1787.476,0.91424,7.496766,0.00013212,30474.66,f,False,line,30.47466,,
relation/4743309-400,way/43337263-400,way/89827347-400,400.0,1.0,1787.476,3.399123,27.872811,0.00049122,113304.11,f,True,line,113.30411,,
relation/4743310-220-a,way/59683455-220,BA20-220,220.0,1.0,491.556,3.247502,16.291637,0.00021255,54125.04,f,True,line,54.12504,,
relation/4743310-220-b,BA20-220,way/89827347-220,220.0,1.0,491.556,2.452338,12.302562,0.00016051,40872.3,f,False,line,40.8723,,
relation/8600944-400,way/89823918-400,way/222962996-400,400.0,1.0,1787.476,2.947921,24.172954,0.00042601,98264.04,f,True,line,98.26404,,
relation/8600945-400,BA4-400,way/222962996-400,400.0,1.0,1787.476,1.251703,10.263966,0.00018089,41723.44,f,False,line,41.723440000000004,,
way/1253054929-220,BA7-220,BA9-220,220.0,1.0,491.556,0.216983,1.08853,1.42e-05,3616.38,f,False,line,3.61638,,
way/1253054930-220,BA10-220,BA9-220,220.0,1.0,491.556,0.215432,1.080753,1.41e-05,3590.54,f,False,line,3.59054,,
way/156723492-220,way/245190169-220,BA23-220,220.0,1.0,491.556,5.028824,25.227936,0.00032914,83813.74,f,False,line,83.81374000000001,,
way/163936517-220,way/79818891-220,BA3-220,220.0,1.0,491.556,4.201191,21.075975,0.00027497,70019.85,f,False,line,70.01985,,
way/184198350-220,way/171251171-220,way/245190169-220,220.0,1.0,491.556,0.723252,3.628314,4.734e-05,12054.2,f,False,line,12.054200000000002,,
way/184631098-220,BA4-220,BA5-220,220.0,1.0,491.556,2.645362,13.270897,0.00017314,44089.36,f,False,line,44.08936,,
way/184631104-400,BA4-400,BA2-400,400.0,1.0,1787.476,4.07682,33.429926,0.00058915,135894.01,f,False,line,135.89401,,
way/184631491-400,BA4-400,way/175002028-400,400.0,1.0,1787.476,2.617732,21.465402,0.0003783,87257.73,f,False,line,87.25773,,
way/191212861-220,way/79818891-220,BA1-220,220.0,2.0,983.112,0.100564,0.504496,2.633e-05,3352.13,f,False,line,3.3521300000000003,,
way/237952002-400,way/89827347-400,BA24-400,400.0,1.0,1787.476,2.084725,17.094744,0.00030127,69490.83,f,False,line,69.49083,,
way/309703539-220,BA23-220,BA21-220,220.0,1.0,491.556,1.631825,8.186321,0.0001068,27197.08,f,False,line,27.197080000000003,,
way/355323955-400,BA13-400,ME2-400,400.0,1.0,1787.476,2.475624,20.300119,0.00035776,82520.81,f,True,line,82.52081,,
way/355834397-220,way/245190169-220,BA26-220,220.0,1.0,491.556,0.984749,4.940159,6.445e-05,16412.49,f,False,line,16.412490000000002,,
way/355998734-220,way/245190169-220,BA26-220,220.0,1.0,491.556,0.985892,4.945891,6.453e-05,16431.53,f,False,line,16.43153,,
way/359202489-220,BA9-220,BA11-220,220.0,1.0,491.556,0.228944,1.148535,1.498e-05,3815.73,f,False,line,3.81573,,
way/359202491-220,BA9-220,BA8-220,220.0,1.0,491.556,0.286556,1.437555,1.876e-05,4775.93,f,False,line,4.775930000000001,,
way/360890127-220,BA4-220,way/841600752-220,220.0,1.0,491.556,0.298905,1.499507,1.956e-05,4981.75,f,False,line,4.98175,,
way/360890128-220,BA4-220,way/841600752-220,220.0,1.0,491.556,0.300963,1.509831,1.97e-05,5016.05,f,False,line,5.01605,,
way/366225646-220,way/89827347-220,BA25-220,220.0,1.0,491.556,2.077479,10.42202,0.00013597,34624.65,f,False,line,34.62465,,
way/366225647-220,BA25-220,way/89827347-220,220.0,1.0,491.556,2.059527,10.33196,0.0001348,34325.45,f,False,line,34.32545,,
way/366535052-220,way/89827347-220,BA23-220,220.0,1.0,491.556,0.216027,1.083735,1.414e-05,3600.45,f,False,line,3.60045,,
way/366535850-220,BA22-220,BA23-220,220.0,1.0,491.556,0.105247,0.527987,6.89e-06,1754.11,f,False,line,1.7541099999999998,,
way/366669093-220,BA23-220,way/89827347-220,220.0,1.0,491.556,0.214522,1.076186,1.404e-05,3575.37,f,False,line,3.57537,,
way/366669094-220,BA22-220,way/89827347-220,220.0,1.0,491.556,0.334811,1.679637,2.191e-05,5580.19,f,False,line,5.58019,,
way/366669096-220-a,BA18-220,BA19-220,220.0,1.0,491.556,0.54844,2.751342,3.59e-05,9140.67,f,False,line,9.14067,,
way/366669096-220-b,BA19-220,BA23-220,220.0,1.0,491.556,2.19194,10.996231,0.00014346,36532.33,f,False,line,36.53233,,
way/366708562-220,BA23-220,way/245190169-220,220.0,1.0,491.556,5.083302,25.501232,0.0003327,84721.7,f,False,line,84.7217,,
way/366737813-220,BA19-220,BA18-220,220.0,1.0,491.556,0.575404,2.886608,3.766e-05,9590.06,f,False,line,9.59006,,
way/511081961-220,BA18-220,BA16-220,220.0,1.0,491.556,0.760932,3.817342,4.98e-05,12682.2,f,False,line,12.6822,,
way/511081962-220-a,BA18-220,BA17-220,220.0,1.0,491.556,0.583862,2.929043,3.821e-05,9731.04,f,False,line,9.73104,,
way/511081962-220-b,BA17-220,BA16-220,220.0,1.0,491.556,0.175119,0.878514,1.146e-05,2918.65,f,False,line,2.91865,,
way/661248034-400,BA5-400,BA15-400,400.0,1.0,1787.476,2.35663,19.324368,0.00034056,78554.34,f,False,line,78.55434,,
way/776984102-220,way/245190169-220,way/171251171-220,220.0,1.0,491.556,0.722878,3.626439,4.731e-05,12047.97,f,False,line,12.04797,,
way/78593926-220,way/79818891-220,way/96704507-220,220.0,1.0,491.556,3.727639,18.700323,0.00024397,62127.32,f,True,line,62.12732,,
way/793080812-220,HR1-220,BA1-220,220.0,1.0,491.556,3.619619,18.158421,0.0002369,60326.98,f,True,line,60.326980000000006,,
way/806282517-400-a,way/245190169-400,ME5-400,400.0,1.0,1787.476,1.569345,12.868629,0.00022679,52311.5,f,True,line,52.3115,,
way/857254625-220,BA26-220,ME4-220,220.0,1.0,491.556,2.749331,13.792479,0.00017994,45822.19,f,True,line,45.82219,,
BA15-220-400,BA15-220,BA15-400,,,1788.0,,,,,,False,transformer,,220.0,400.0
BA4-220-400,BA4-220,BA4-400,,,5363.0,,,,,,False,transformer,,220.0,400.0
BA5-220-400,BA5-220,BA5-400,,,1788.0,,,,,,False,transformer,,220.0,400.0
way/245190169-220-400,way/245190169-220,way/245190169-400,,,3575.0,,,,,,False,transformer,,220.0,400.0
way/89827347-220-400,way/89827347-220,way/89827347-400,,,5363.0,,,,,,False,transformer,,220.0,400.0
