bus_id,voltage,x,y,country,role,nearest_place,nearest_place_km,plant_fossil_brown_coal_lignite_mw,plant_hydro_pumped_storage_mw,plant_hydro_run-of-river_and_poundage_mw,plant_hydro_water_reservoir_mw,plant_wind_onshore_mw
BA1-220,220,16.678952700000007,44.93118399058617,BA,ba,Prijedor,5.9,0.0,0.0,0.0,0.0,0.0
BA10-220,220,18.1197634,44.054072589904266,BA,ba,Kakanj,8.4,0.0,0.0,0.0,0.0,0.0
BA11-220,220,18.09892890000001,44.050013889901045,BA,ba,Kakanj,9.0,0.0,0.0,0.0,0.0,0.0
BA12-220,220,18.12321034940676,44.03655746094777,BA,ba,Visoko,6.9,0.0,0.0,0.0,0.0,0.0
BA13-400,400,18.383769249933973,43.8251178397691,BA,ba,Sarajevo,4.4,0.0,0.0,0.0,0.0,0.0
BA14-220,220,19.0143004,43.79897788969926,BA,ba,Rogatica,1.2,0.0,0.0,0.0,0.0,0.0
BA15-220,220,19.28103544185228,43.79218198525006,BA,ba,Višegrad,1.5,0.0,0.0,0.0,0.0,0.0
BA15-400,400,19.281327511720303,43.7923480558783,BA,ba,Višegrad,1.5,0.0,0.0,0.0,315.0,0.0
BA16-220,220,17.675840749794148,43.74706228969273,BA,ba,Prozor,9.7,0.0,0.0,0.0,161.0,0.0
BA17-220,220,17.68831679989812,43.72362853969139,BA,ba,Jablanica,9.1,0.0,0.0,0.0,0.0,0.0
BA18-220,220,17.754869598202273,43.660186909128925,BA,ba,Jablanica,0.4,0.0,0.0,0.0,180.0,0.0
BA19-220,220,17.720387834118576,43.58775827399669,BA,ba,Grabovica,5.8,0.0,0.0,0.0,114.0,0.0
BA2-400,400,17.160075300000006,44.85934929053172,BA,ba,Banja Luka,10.2,300.0,0.0,0.0,0.0,0.0
BA20-220,220,17.337784600000006,43.4507207894146,BA,ba,Posušje,2.2,0.0,0.0,32.0,0.0,170.6
BA21-220,220,17.849607700993605,43.44910408973016,BA,ba,Salakovac,0.1,0.0,0.0,0.0,282.0,0.0
BA22-220,220,17.82196444854754,43.28267393989478,BA,ba,Mostar,6.4,0.0,0.0,0.0,0.0,48.0
BA23-220,220,17.800559444681674,43.28121787093424,BA,ba,Mostar,6.6,0.0,0.0,60.0,0.0,0.0
BA24-400,400,18.514304000188424,43.17470173930364,BA,ba,Gacko,1.4,300.0,0.0,0.0,0.0,0.0
BA25-220,220,17.803684349659637,43.01231168920064,BA,ba,Čapljina,14.2,0.0,420.0,0.0,0.0,0.0
BA26-220,220,18.500104862579253,42.72787601304837,BA,ba,Trebinje,13.2,0.0,0.0,0.0,0.0,0.0
BA3-220,220,15.880297399999996,44.82940889050892,BA,ba,Bihać,1.3,0.0,0.0,10.0,0.0,0.0
BA4-220,220,18.605783043969407,44.48047761418108,BA,ba,Živinice,4.9,0.0,0.0,0.0,0.0,0.0
BA4-400,400,18.606076809486325,44.480645485154994,BA,ba,Živinice,4.9,0.0,0.0,0.0,0.0,0.0
BA5-220,220,19.06967112315904,44.40383966176981,BA,ba,Zvornik,2.9,0.0,0.0,0.0,0.0,0.0
BA5-400,400,19.06996587767301,44.40400620882524,BA,ba,Zvornik,2.8,0.0,0.0,0.0,0.0,0.0
BA6-220,220,17.962361357541017,44.19172867704639,BA,ba,Zenica,4.3,0.0,0.0,0.0,0.0,0.0
BA7-220,220,18.106497799999985,44.11134848994992,BA,ba,Kakanj,2.3,450.0,0.0,0.0,0.0,0.0
BA8-220,220,18.0602515,44.09301888993531,BA,ba,Kakanj,6.3,0.0,0.0,0.0,0.0,0.0
BA9-220,220,18.109364416888965,44.0815467972944,BA,ba,Kakanj,5.4,0.0,0.0,0.0,0.0,0.0
HR1-220,220,16.35844589999999,45.35731309090436,HR,border,,47.8,0.0,0.0,0.0,0.0,0.0
ME2-400,400,18.8584697,43.27480578926871,ME,border,,26.9,0.0,0.0,0.0,0.0,0.0
ME4-220,220,18.99595170002566,42.67072593876423,ME,border,,51.2,0.0,0.0,0.0,0.0,0.0
ME5-400,400,18.8779871,42.55582418865856,ME,border,,47.2,0.0,0.0,0.0,0.0,0.0
way/113757307-220,220,18.420983798347297,45.28870540962547,HR,border,,25.7,0.0,0.0,0.0,0.0,0.0
way/171251171-220,220,18.23571320083028,42.61050549562968,BA,ba,Trebinje,13.9,0.0,0.0,0.0,0.0,0.0
way/175002028-400,400,18.315516969695054,43.88274824216157,BA,ba,Sarajevo,8.0,0.0,0.0,0.0,0.0,0.0
way/222962996-400,400,18.965914839988223,44.68645824024574,BA,ba,Ugljevik,4.3,300.0,0.0,0.0,0.0,0.0
way/236110936-400,400,19.612584150313094,45.01629601123313,RS,border,,42.5,0.0,0.0,0.0,0.0,0.0
way/245190169-220,220,18.333137433557468,42.67719632995537,BA,ba,Trebinje,3.7,0.0,0.0,8.0,180.0,0.0
way/245190169-400,400,18.33342093302511,42.67736538451529,BA,ba,Trebinje,3.7,0.0,0.0,0.0,0.0,0.0
way/251735977-220,220,17.264451011211023,44.32863795543143,BA,ba,Jajce,1.3,0.0,0.0,38.8,170.0,0.0
way/317496363-220,220,20.04399578939664,43.82349003216872,RS,border,,60.6,0.0,0.0,0.0,0.0,0.0
way/43337263-400,400,16.50127907148467,43.60043328704915,HR,border,,48.2,0.0,0.0,0.0,0.0,0.0
way/59683455-220,220,16.702004592938074,43.45514307124362,HR,border,,48.4,0.0,0.0,0.0,0.0,0.0
way/692824732-220,220,18.435928500334384,44.905013556635765,BA,ba,Gradačac,2.8,0.0,0.0,0.0,0.0,0.0
way/79818891-220,220,16.71876991179986,44.94099405009348,BA,ba,Prijedor,4.4,0.0,0.0,0.0,0.0,0.0
way/841600752-220,220,18.604885316340617,44.52231833808715,BA,ba,Lukavac,6.2,715.0,0.0,0.0,0.0,0.0
way/89823918-400,400,18.663329039744493,45.47318683998,HR,border,,48.3,0.0,0.0,0.0,0.0,0.0
way/89827347-220,220,17.769573186391867,43.30302578903101,BA,ba,Mostar,5.2,0.0,0.0,0.0,0.0,0.0
way/89827347-400,400,17.769858195754946,43.3031963063133,BA,ba,Mostar,5.2,0.0,0.0,0.0,0.0,0.0
way/96704507-220,220,16.913620388699012,45.448081289056574,HR,border,,54.3,0.0,0.0,0.0,0.0,0.0
