plant,entsoe_type,capacity_mw,lon,lat,bus_id,connection_confidence,notes
TE Tuzla,Fossil Brown coal/Lignite,715,18.6300,44.5500,way/841600752-220,medium,"Bukinje/Tuzla; nearest >=220kV bus is Lukavac 220"
TE Kakanj,Fossil Brown coal/Lignite,450,18.1090,44.1230,BA7-220,high,"Catici; Kakanj 220kV switchyard"
TE Stanari,Fossil Brown coal/Lignite,300,17.8280,44.7480,BA2-400,low,"Stanari (Doboj area) has no bus in the >=220kV extract; assigned to nearest 400kV bus (Banja Luka), ~40km"
TE Ugljevik,Fossil Brown coal/Lignite,300,19.0100,44.6800,way/222962996-400,high,"RiTE Ugljevik"
TE Gacko,Fossil Brown coal/Lignite,300,18.5330,43.1660,BA24-400,high,"RiTE Gacko"
HE Visegrad,Hydro Water Reservoir,315,19.2890,43.7960,BA15-400,medium,"Drina; Visegrad substation has both 220 and 400kV buses"
HE Salakovac,Hydro Water Reservoir,210,17.8490,43.4490,BA21-220,high,"Neretva; bus is 0.1km from dam"
HE Jablanica,Hydro Water Reservoir,180,17.7550,43.6580,BA18-220,high,"Neretva"
HE Trebinje I,Hydro Water Reservoir,180,18.3630,42.7080,way/245190169-220,high,"Trebisnjica; Trebinje 220 bus 3.7km"
HE Rama,Hydro Water Reservoir,161,17.5690,43.7460,BA16-220,medium,"Rama/Neretva; nearest bus labeled Prozor"
HE Grabovica,Hydro Water Reservoir,114,17.7210,43.5850,BA19-220,high,"Neretva"
HE Bocac,Hydro Water Reservoir,110,17.1700,44.5400,way/251735977-220,low,"Vrbas between Jajce and Banja Luka; nearest in-extract bus is Jajce 220, ~25km"
HE Mostar,Hydro Water Reservoir,72,17.8400,43.4000,BA21-220,low,"Vrapcici; likely 110kV connection, mapped to nearest >=220kV bus (Salakovac)"
HE Jajce I,Hydro Water Reservoir,60,17.2600,44.3400,way/251735977-220,medium,"Pliva/Vrbas; likely 110kV connection"
CHE Capljina,Hydro Pumped Storage,420,17.8100,43.0400,BA25-220,high,"Trebisnjica lower stage; 2x210MW pumped storage"
HE Mostarsko Blato,Hydro Run-of-river and poundage,60,17.7800,43.3000,BA23-220,low,"Rodoc; likely 110kV connection"
HE Pec Mlini,Hydro Run-of-river and poundage,32,17.5500,43.3600,BA20-220,low,"Grude; likely 110kV connection, nearest >=220kV bus Posusje"
HE Jajce II,Hydro Run-of-river and poundage,30,17.2200,44.3300,way/251735977-220,medium,"Vrbas"
HE Una Kostela,Hydro Run-of-river and poundage,10,15.9200,44.7900,BA3-220,medium,"Una; near Bihac"
HE Bocac 2,Hydro Run-of-river and poundage,8.8,17.1700,44.5400,way/251735977-220,low,"small unit below Bocac dam"
HE Trebinje II,Hydro Run-of-river and poundage,8,18.3400,42.7100,way/245190169-220,medium,"Gorica dam, Trebinje"
VE Ivovik,Wind Onshore,84,17.1000,43.7500,BA20-220,low,"Livno/Tomislavgrad; trial operation 2025; 110kV area connection"
VE Mesihovina,Wind Onshore,50.6,17.3000,43.6500,BA20-220,low,"Tomislavgrad"
VE Podvelezje,Wind Onshore,48,17.9000,43.3000,BA22-220,low,"Mostar"
VE Jelovaca,Wind Onshore,36,17.2800,43.6200,BA20-220,low,"Tomislavgrad"
